cell_id,correlated_pair_ratio
125,0.101671309
126,0.077994429
127,0.104456825
128,0.080779944
129,0.108635097
130,0.093314763
131,0.228412256
132,0.077994429
133,0.207520891
134,0.087743733
135,0.061281337
136,0.104456825
137,0.08913649
138,0.087743733
139,0.114206128
140,0.08356546
141,0.08913649
142,0.06545961
143,0.076601671
144,0.058495822
145,0.077994429
146,0.136490251
147,0.091922006
148,0.147632312
149,0.150417827
150,0.08913649
151,0.055710306
152,0.073816156
153,0.115598886
154,0.082172702
155,0.101671309
156,0.061281337
157,0.105849582
158,0.10724234
159,0.101671309
160,0.125348189
161,0.101671309
162,0.125348189
163,0.108635097
164,0.123955432
165,0.161559889
166,0.086350975
167,0.093314763
168,0.150417827
169,0.096100279
170,0.108635097
171,0.068245125
172,0.091922006
173,0.096100279
174,0.097493036
175,0.161559889
176,0.094707521
177,0.14902507
178,0.10724234
179,0.068245125
180,0.108635097
181,0.096100279
182,0.069637883
183,0.084958217
184,0.075208914
185,0.1545961
186,0.062674095
187,0.105849582
188,0.110027855
189,0.079387187
190,0.050139276
191,0.034818942
192,0.119777159
193,0.140668524
194,0.103064067
195,0.122562674
196,0.100278552
197,0.155988858
198,0.103064067
199,0.100278552
200,0.142061281
201,0.105849582
202,0.121169916
203,0.11281337
204,0.084958217
205,0.118384401
206,0.126740947
207,0.094707521
208,0.103064067
209,0.123955432
210,0.1545961
211,0.132311978
212,0.080779944
213,0.110027855
214,0.075208914
215,0.13091922
216,0.105849582
217,0.122562674
218,0.087743733
219,0.091922006
220,0.104456825
221,0.079387187
222,0.118384401
223,0.10724234
224,0.100278552
225,0.103064067
226,0.110027855
227,0.068245125
228,0.171309192
229,0.087743733
230,0.176880223
231,0.064066852
232,0.059888579
233,0.101671309
234,0.115598886
235,0.091922006
236,0.114206128
237,0.176880223
238,0.096100279
239,0.096100279
240,0.096100279
241,0.123955432
242,0.142061281
243,0.097493036
244,0.079387187
245,0.14902507
246,0.128133705
247,0.121169916
248,0.090529248
249,0.123955432
250,0.136490251
251,0.133704735
252,0.100278552
253,0.110027855
254,0.096100279
255,0.071030641
256,0.108635097
257,0.108635097
258,0.108635097
259,0.080779944
260,0.111420613
261,0.077994429
262,0.082172702
263,0.118384401
264,0.093314763
265,0.094707521
266,0.090529248
267,0.111420613
268,0.129526462
269,0.103064067
270,0.132311978
271,0.072423398
272,0.103064067
273,0.055710306
274,0.155988858
275,0.123955432
276,0.103064067
277,0.121169916
278,0.096100279
279,0.093314763
280,0.079387187
281,0.058495822
282,0.098885794
283,0.105849582
284,0.153203343
285,0.116991643
286,0.093314763
287,0.114206128
288,0.066852368
289,0.096100279
290,0.06545961
291,0.052924791
292,0.08913649
293,0.094707521
294,0.098885794
295,0.10724234
296,0.080779944
297,0.069637883
298,0.071030641
299,0.075208914
300,0.100278552
301,0.090529248
302,0.121169916
303,0.077994429
304,0.218662953
305,0.167130919
306,0.246518106
307,0.104456825
308,0.13091922
309,0.150417827
310,0.228412256
311,0.08356546
312,0.077994429
313,0.08356546
314,0.168523677
315,0.126740947
316,0.114206128
317,0.175487465
318,0.123955432
319,0.142061281
320,0.087743733
321,0.108635097
322,0.182451253
323,0.103064067
324,0.121169916
325,0.128133705
326,0.259052925
327,0.10724234
328,0.094707521
329,0.162952646
330,0.087743733
331,0.263231198
332,0.146239554
333,0.110027855
334,0.178272981
335,0.129526462
336,0.19637883
337,0.153203343
338,0.242339833
339,0.158774373
340,0.175487465
341,0.206128134
342,0.150417827
343,0.140668524
344,0.21448468
345,0.14902507
346,0.243732591
347,0.142061281
348,0.17270195
349,0.22005571
350,0.080779944
351,0.080779944
352,0.147632312
353,0.171309192
354,0.140668524
355,0.139275766
356,0.105849582
357,0.093314763
358,0.208913649
359,0.162952646
360,0.137883008
361,0.103064067
362,0.1545961
363,0.17270195
364,0.126740947
365,0.140668524
366,0.169916435
367,0.21448468
368,0.14902507
369,0.111420613
370,0.13091922
371,0.139275766
372,0.161559889
373,0.136490251
374,0.189415042
375,0.08913649
376,0.14902507
377,0.215877437
378,0.155988858
379,0.155988858
380,0.17270195
381,0.224233983
382,0.157381616
383,0.171309192
384,0.146239554
385,0.213091922
386,0.190807799
387,0.123955432
388,0.118384401
